Label	logFC	FDR
LYAR	0.825391	5.42E-03
RASSF6	-2.3188881	5.43E-03
LOC105378130	-1.6313915	5.43E-03
COL4A1	1.5265119	5.47E-03
NBPF20	0.8819658	5.51E-03
PYROXD1	-1.1416054	5.51E-03
PP7080	-2.4816269	5.52E-03
NID2	2.2788435	5.52E-03
SLC7A8	-1.3672036	5.52E-03
C1orf216	0.9226175	5.52E-03
HIP1R	-0.8906494	5.52E-03
MT1HL1	-2.0277771	5.52E-03
DSE	1.2954947	5.52E-03
MT2A	-1.5517137	5.52E-03
MSANTD3	1.0371324	5.52E-03
CPA2	-3.9419984	5.56E-03
HDC	-2.5066087	5.56E-03
SAR1B	-0.9509601	5.56E-03
BMP1	1.1617188	5.56E-03
SLC25A32	0.7103941	5.56E-03
DPYSL3	1.9677092	5.56E-03
ODF2L	0.9779789	5.56E-03
BCAT1	1.8231102	5.56E-03
PAK1	-1.02804	5.57E-03
HPCAL1	-1.2940895	5.59E-03
SLC14A1	-1.6154127	5.60E-03
GCNT2	-1.8891956	5.60E-03
STX19	-2.0997682	5.60E-03
SLCO4A1	-1.577898	5.60E-03
TUBB6	1.4284035	5.60E-03
SPINK13	-2.4644049	5.60E-03
HIPK2	-1.5864256	5.60E-03
DNAJC10	0.8480787	5.69E-03
COL1A1	3.0111652	5.69E-03
ALDH1B1	1.4455596	5.69E-03
PDPN	1.3339107	5.69E-03
CADM4	-1.785489	5.69E-03
PXMP2	-1.5090306	5.73E-03
ALDH3A1	-3.9199847	5.73E-03
ATP8B1	-1.3615138	5.74E-03
CMTM3	1.2987455	5.76E-03
ESR2	-2.7118397	5.78E-03
AZGP1P1///AZGP1	-1.382934	5.78E-03
LOC101928269///LOC100506403///RUNX1	1.063866	5.78E-03
CYSTM1	-1.9453827	5.80E-03
KLHDC2	-0.7648177	5.80E-03
SERPINH1	2.3429657	5.82E-03
FNDC1	4.216381	5.82E-03
PEA15	0.961811	5.82E-03
EFCAB14	-0.8204058	5.82E-03
KCTD20	0.8533857	5.82E-03
SLC26A7	-3.6098368	5.82E-03
AKR1C1	-3.1593833	5.85E-03
VSTM2A-OT1///VSTM2A	-2.1340188	5.85E-03
HSPB2-C11orf52///C11orf52///HSPB2	-1.2797041	5.91E-03
PGA4///PGA3///PGA5	-7.9790466	5.91E-03
ASPN	2.6340363	5.91E-03
ETNPPL	-5.1363434	5.91E-03
MMD	0.981707	5.97E-03
LOC101930400///AKR1C2///AKR1C1	-3.773018	5.97E-03
FAM20A	-1.6541173	5.97E-03
NDE1	1.1252454	5.99E-03
COL5A1	1.6469499	6.00E-03
SLC9A1	-1.6215008	6.00E-03
SFRP4	3.4940891	6.05E-03
SNORA17B	-2.1141663	6.05E-03
HMGCS2	-2.0219058	6.12E-03
LMNA	-1.0583764	6.13E-03
MAL	-4.1026149	6.13E-03
LGALS9	-1.0170078	6.13E-03
ANTXR1	1.5746334	6.17E-03
HOXA10-HOXA9///MIR196B///HOXA9	2.4582846	6.18E-03
FAHD2CP	-0.811409	6.18E-03
TTTY1B///TTTY1	-2.0557398	6.18E-03
SHPK///TRPV1	-0.902403	6.18E-03
TMBIM6	-0.7715714	6.21E-03
STS	-1.3273977	6.21E-03
RUVBL1	1.1873157	6.26E-03
RPS6KA6	-1.7768096	6.42E-03
AEBP1	1.8902136	6.44E-03
ARAF	-0.7147016	6.46E-03
RAB26	-1.7816401	6.47E-03
SIGLEC11	-3.1810782	6.47E-03
SNAP29	-0.7312143	6.47E-03
OLFML2B	1.8944706	6.47E-03
BBIP1	-1.0617288	6.47E-03
PRRG1	1.3326287	6.52E-03
GATA2	-0.9395156	6.53E-03
MARVELD1	1.3184071	6.56E-03
LUM	1.1653879	6.59E-03
KCTD10	0.9049391	6.59E-03
ACOX3	-1.1109117	6.59E-03
FMN1	-0.8975755	6.59E-03
GOT1	-1.2584847	6.59E-03
CYP3A43	-1.4263904	6.66E-03
SPHK1	1.9800806	6.66E-03
COX4I1	-0.5854279	6.69E-03
MTBP	2.6465904	6.71E-03
PLCE1	-1.6060907	6.74E-03
LAMA4	1.9312755	6.74E-03
POLR2G	0.780748	6.74E-03
GAK	-0.8366794	6.74E-03
ARHGAP26	-0.9438914	6.74E-03
TEAD4	1.0794868	6.77E-03
ANOS1	2.1219398	6.84E-03
ANG	-2.0570028	6.84E-03
ATP5A1	-0.6382022	6.93E-03
BCL2L14	-1.6574986	6.94E-03
LOC100506236	-1.923969	6.94E-03
ERN1	-0.9663736	6.98E-03
KRT80	2.6227376	6.98E-03
WASF1	1.7321758	7.00E-03
SLC44A2	-1.0519176	7.00E-03
USP3	-0.7175884	7.12E-03
PWWP2B	-0.704239	7.18E-03
PGM2	0.9942803	7.28E-03
SMPD3	-2.1118725	7.28E-03
OR10D3	-2.0399147	7.28E-03
ABCC13	-1.9802076	7.28E-03
HBBP1	-1.1666795	7.30E-03
ACSF2	-1.2278547	7.32E-03
PRRX1	2.1126396	7.32E-03
RETSAT	-1.124912	7.32E-03
PRKCDBP	1.2846208	7.44E-03
PANX1	0.829432	7.44E-03
BCAS4	1.7120242	7.54E-03
WDR37	-0.8154945	7.64E-03
MYO1B	1.0522716	7.66E-03
FRMD6	1.2955987	7.66E-03
MFAP2	2.1811041	7.66E-03
TMEM134	-0.8314868	7.70E-03
LOC101926959	-3.6415226	7.70E-03
SGK2	-2.2435405	7.70E-03
PKIB	-2.773715	7.73E-03
HPGD	-2.7404028	7.73E-03
CYP3A4	-1.1446395	7.73E-03
ACADS	-0.9349228	7.73E-03
PPP4R4	-2.0125142	7.73E-03
TMEM158	1.4560434	7.73E-03
VASH1	1.0981434	7.73E-03
BTD	-1.0911358	7.76E-03
STX12	-1.1146979	7.78E-03
FSTL1	1.3933127	7.78E-03
ZNF554	-2.0380731	7.78E-03
ECT2	1.4763034	7.80E-03
LYPD6B	-3.1547356	7.80E-03
CRISPLD1	2.5712471	7.80E-03
FMO4	-1.3462941	7.83E-03
GIF	-7.7469969	7.84E-03
AKR1B10	-4.5482946	7.84E-03
ATP11B	-1.2773207	7.85E-03
PMEPA1	1.9360001	7.87E-03
NKX3-2	2.928947	7.88E-03
LOC100653149///LINC01296	2.088069	7.88E-03
ADAMTSL1	-1.8036343	7.94E-03
WFDC11	-2.3089769	7.94E-03
DKK2	2.5600329	7.96E-03
LOC101927537	-0.8682741	7.96E-03
CAPN9	-3.5024798	7.96E-03
TSPAN12	-1.1263904	8.00E-03
LRRC66	-2.3766201	8.00E-03
CNTD1	-3.5770859	8.01E-03
CYP2C18	-2.8554529	8.01E-03
DNAJA2	-0.6902816	8.01E-03
LRFN5	-1.1944521	8.01E-03
LINC00424	-0.7212366	8.01E-03
ZBTB7C	-3.1920251	8.01E-03
CTPS1	0.9621214	8.01E-03
SETSIP///SETP4///SET	0.9446194	8.01E-03
ENTPD1	0.863866	8.01E-03
SMIM5	-2.606567	8.01E-03
ERLIN2	-1.1987436	8.01E-03
SMPDL3A	-1.2151709	8.01E-03
UBL3	-1.4608716	8.01E-03
ALAD	-1.065235	8.01E-03
PLEKHH1	-1.1431646	8.01E-03
MIR6733///EBNA1BP2	0.7690456	8.09E-03
KIF26B	2.0574511	8.09E-03
FAM83D	1.6107055	8.14E-03
NCBP2	0.7304993	8.19E-03
GH1	-2.2005077	8.25E-03
CLUL1	-2.8468237	8.25E-03
CYP2C8	-2.5299444	8.25E-03
DNASE1	-1.3401498	8.25E-03
FADS3	1.5694341	8.25E-03
ZNF33B	-0.7776103	8.25E-03
ILVBL	-0.7383965	8.25E-03
SLC26A9	-4.0798108	8.25E-03
UBALD1	-1.488681	8.25E-03
EPN3	-1.8748351	8.25E-03
GATA6	-1.797253	8.30E-03
GPX3	-1.338384	8.30E-03
TIMP2	1.0471557	8.36E-03
USP27X	-0.776706	8.36E-03
LOC284578	-2.930879	8.36E-03
PRLR	-1.8970453	8.36E-03
SEPSECS	-0.7698445	8.36E-03
ATF1	0.8627196	8.37E-03
LOC100507487	-1.2919189	8.40E-03
COQ9	-0.7546953	8.40E-03
TAZ	-0.8063978	8.51E-03
ENO1	1.4491932	8.59E-03
CTB-49A3.2	-1.4229498	8.62E-03
SPP1	3.3893749	8.64E-03
TESK2	-0.8702411	8.64E-03
PAK2	1.1034602	8.68E-03
STX6	1.1046608	8.68E-03
F2RL1	-1.6549697	8.68E-03
CST1	3.561329	8.70E-03
RDH12	-3.6224081	8.76E-03
COL2A1	-3.632564	8.78E-03
RELL1	-1.8997355	8.78E-03
TYRO3P	-1.8326354	8.79E-03
CIDEC	-1.6291401	8.79E-03
LOC103091866///LINC00623///LINC01138///LINC00869	0.8964077	8.79E-03
ANXA8L1///ANXA8	2.160444	8.80E-03
PRKAB1	-0.8336399	8.91E-03
TRIM68	-0.7420038	8.91E-03
TMEM53	-0.714744	8.93E-03
ZSCAN31	-1.1499849	8.93E-03
OGFOD1	0.867589	8.93E-03
LINC01565	-1.4217165	9.00E-03
B3GNT6	-2.9865555	9.00E-03
MIR7112///BOP1	1.096152	9.00E-03
EXD1	-2.4707344	9.00E-03
HECTD1	-0.8413777	9.02E-03
TTL	0.8439744	9.05E-03
STK3	1.059411	9.17E-03
TRIM59	0.9651947	9.17E-03
CRYL1	-1.1114687	9.18E-03
PAX8	-2.0517433	9.18E-03
CELSR3	1.9216114	9.20E-03
PDLIM4	1.0021973	9.20E-03
HMCN1	1.99396	9.25E-03
FBN1	1.7708897	9.27E-03
CALU	0.777397	9.28E-03
ZBTB43	-0.9648355	9.28E-03
SLC25A20	-0.9459282	9.29E-03
PLPP5	-1.1114821	9.29E-03
FAM65A	1.8383422	9.29E-03
C18orf25	-0.9155597	9.29E-03
NCOR1	-0.5347673	9.30E-03
HDGFL1	-0.9644589	9.36E-03
RAD23B	0.6815646	9.36E-03
CSPG4	1.6382291	9.36E-03
YIF1B	-4.1353181	9.36E-03
PPP1R36	-1.693181	9.36E-03
P3H1	0.8489615	9.36E-03
ZBTB20	-1.0290066	9.37E-03
SIRT7	-0.7404815	9.37E-03
PFDN2	0.8994881	9.37E-03
FAP	3.9920989	9.37E-03
BLNK	-1.1883016	9.37E-03
C1orf210	-1.2522631	9.37E-03
NUDT12	-0.9450508	9.37E-03
KNG1	-2.4980522	9.37E-03
ADRB2	-2.1689328	9.37E-03
GAB4	-1.9289274	9.37E-03
FAM26E	1.4956806	9.37E-03
SMIM12	-0.7833838	9.37E-03
PRMT1	0.7946598	9.37E-03
FAM46A	-1.5800376	9.37E-03
RPARP-AS1	-1.09992	9.37E-03
HAPLN4	-3.3436518	9.37E-03
NQO1	-1.4487058	9.37E-03
ALDOB	-4.5435921	9.37E-03
ACADVL	-0.9348711	9.38E-03
HIKESHI	1.0014325	9.38E-03
ANP32E	0.8146507	9.40E-03
NFE2L2	-1.7211358	9.40E-03
TPM4	0.9186002	9.41E-03
ADAM12	2.6351668	9.41E-03
CSE1L	1.1679091	9.41E-03
TDRKH	0.8707202	9.41E-03
HHIP	-2.8647426	9.42E-03
FOLR1	-2.5936504	9.43E-03
USP31	0.8367569	9.44E-03
TMEM266	-1.79497	9.47E-03
ACKR4	-2.1517332	9.52E-03
LRRN4	-0.8546003	9.52E-03
TEX9	-1.0603697	9.55E-03
MIR4435-2HG	1.5372422	9.58E-03
HSD17B4	-0.7338489	9.58E-03
GRINA	0.9747593	9.61E-03
CCDC160	-1.7366366	9.61E-03
SLC25A46	-0.8539828	9.61E-03
ACTB	0.7293792	9.65E-03
RPGRIP1L	0.8978775	9.65E-03
RNASEK-C17orf49///C17orf49	0.8692211	9.65E-03
CYP2C19	-2.3867726	9.73E-03
IPO9-AS1	-2.273754	9.79E-03
PROM2	-1.0703574	9.79E-03
DOPEY2	-1.1248465	9.90E-03
SIVA1	0.7069837	9.90E-03
PRPS1	0.7574367	9.93E-03
CTSL	1.5885839	1.01E-02
NOC3L	0.6368849	1.01E-02
TMEM206	0.9196851	1.01E-02
AMIGO2	1.3006663	1.01E-02
XPR1	0.8451772	1.01E-02
GATA5	-2.2657949	1.01E-02
WDR43	0.8629458	1.01E-02
LOC100499194	-1.5765024	1.01E-02
ASB3	-1.9743369	1.01E-02
COL4A2	1.3943643	1.01E-02
HRH3	-0.8031322	1.02E-02
RREB1	-0.6274957	1.02E-02
EDNRA	1.6628069	1.02E-02
ALDH6A1	-1.6206969	1.02E-02
KCNQ1DN	-2.278786	1.02E-02
COL6A5	-1.8283797	1.02E-02
TMEM9B	-0.6146693	1.02E-02
KMT2C	-0.8896532	1.03E-02
AGAP6	-0.8013876	1.03E-02
DDX60	-2.0275719	1.04E-02
SCP2	-0.6658961	1.04E-02
CPEB3	-1.3778838	1.04E-02
PRKCD	-0.9467643	1.04E-02
ATP13A4	-2.1377227	1.04E-02
LOC100506459	1.6144814	1.04E-02
GPAT3	-2.0779938	1.04E-02
FA2H	-2.26995	1.04E-02
IAH1	0.8587551	1.04E-02
UBE2U	-2.3716252	1.05E-02
OTUD1	-1.1892961	1.05E-02
LOC101927256	-2.6950627	1.05E-02
AKR7A3	-2.1246551	1.05E-02
C11orf44	-1.0253715	1.05E-02
ATP6V0A2	-1.8466829	1.05E-02
FAM150B	-3.0572328	1.06E-02
TCEB3	-0.8574549	1.06E-02
TMEM43	0.7729709	1.06E-02
RFESD	-1.0687045	1.06E-02
IQCJ-SCHIP1///SCHIP1	1.2771946	1.06E-02
TMPO	2.5949604	1.06E-02
UBE2E2	1.0309983	1.06E-02
KCNJ14	-0.8392714	1.06E-02
MKNK2	-0.8972366	1.06E-02
KLF4	-1.9958316	1.06E-02
MARVELD2	-0.8489475	1.06E-02
NAA60	-0.6996379	1.06E-02
UQCR10	-0.6889204	1.06E-02
RGS6	-1.83346	1.07E-02
ACSS2	-0.9969081	1.07E-02
FGD6	1.087545	1.07E-02
SLC2A12	-2.2245193	1.07E-02
LETMD1	-0.5554986	1.07E-02
LOC101928879///ZNF250///COMMD5	0.7211403	1.07E-02
TDRD9	-1.3120788	1.07E-02
OLMALINC///PP7080	-1.9950571	1.07E-02
IDUA	-1.2387277	1.09E-02
NRP2	2.1636328	1.09E-02
C5orf30	-1.5924412	1.09E-02
CHP1	-0.8888672	1.09E-02
DNMBP	-1.0519054	1.09E-02
TTC26	1.7087781	1.10E-02
LOC400927-CSNK1E///LOC400927///CSNK1E	-1.0001366	1.10E-02
SULF2	1.3899689	1.10E-02
LOC105372793	-2.7956611	1.10E-02
KLHL29	1.1584913	1.10E-02
FGFR4	1.6499524	1.10E-02
PHGR1	-1.010415	1.10E-02
SNORD112///MEG8	2.063847	1.10E-02
GNB4	0.9603681	1.10E-02
EMILIN2	0.8827399	1.10E-02
C6orf141	-1.5247845	1.10E-02
GALE	-1.0129705	1.11E-02
PSEN1	-0.9849535	1.11E-02
FER1L4	-1.8744903	1.11E-02
PLXNA1	0.8994019	1.12E-02
CLDN1	2.6621611	1.12E-02
RHOU	-0.9784068	1.13E-02
FBXO39	-1.5428948	1.13E-02
NUTM2G///NUTM2F	-0.9837107	1.13E-02
ATXN7L3B	-0.8959443	1.14E-02
TNFAIP6	1.8140808	1.14E-02
ACADSB	-1.1334899	1.15E-02
ITGB5	0.8331422	1.15E-02
NAPEPLD	-0.7560348	1.15E-02
FAM72A///FAM72D///FAM72B///FAM72C	1.802967	1.15E-02
SH3GL2	-3.7276808	1.15E-02
ISLR	1.3147677	1.15E-02
EPHB6	-1.3292951	1.15E-02
CBFB	0.7240013	1.15E-02
VEGFC	1.3100541	1.15E-02
ALDH2	-1.0711391	1.15E-02
OGFOD2	-0.7083822	1.15E-02
KPNA2	1.0010273	1.15E-02
PNLIPRP2	-3.7474862	1.15E-02
MOBP	-1.1113812	1.15E-02
L3HYPDH	0.7183679	1.15E-02
ELOVL5	1.0576463	1.15E-02
DPEP3	-2.2363252	1.16E-02
KIAA0930	0.8938986	1.16E-02
PSMD2	0.6455563	1.16E-02
ONECUT1	-1.2531624	1.16E-02
FAM198B	1.4709153	1.16E-02
LEF1	1.1908233	1.16E-02
MED27	1.0030276	1.16E-02
ARPC1B	1.0627692	1.16E-02
LAMB1	0.9966214	1.16E-02
REPS2	-0.7721672	1.16E-02
GRIP2	-1.7271659	1.16E-02
TNFRSF12A	2.1516392	1.16E-02
LINC01126	-1.0448151	1.16E-02
SPATA6	-1.0506908	1.16E-02
MYL4	-1.3418595	1.16E-02
SMARCE1	0.9078504	1.17E-02
CHGA	-3.9972504	1.18E-02
ATP2A3	-1.377552	1.18E-02
ARRDC4	-1.260671	1.18E-02
MARC2	-1.2912318	1.18E-02
LOC100996696///PABPC4	-0.7915341	1.18E-02
FAM120AOS	-0.9375454	1.18E-02
TGFBI	1.0229307	1.19E-02
ZAK	1.492708	1.19E-02
LSM14A	1.1055183	1.19E-02
MSR1	1.297133	1.19E-02
GCNT1	-1.5382305	1.19E-02
NMRK1	-1.0618432	1.19E-02
ADGRF4	2.3799838	1.19E-02
LIN9	-2.4035736	1.19E-02
MPV17L	-1.1158158	1.20E-02
CYP2S1	-1.5503613	1.20E-02
PTRF	1.257544	1.20E-02
CASC7///AGO2	1.0532168	1.20E-02
CFAP74	-2.3180966	1.20E-02
NBN	0.6764038	1.20E-02
KNL1	2.0121784	1.21E-02
SERTM1	-1.8696909	1.21E-02
ELAC1	-0.712688	1.23E-02
TM6SF2	-1.8992449	1.23E-02
ABCC5	-1.3320674	1.23E-02
ENPP6	-2.5416155	1.23E-02
PALD1	1.2525687	1.23E-02
PUS7	0.9827692	1.24E-02
CT83	3.6214706	1.24E-02
ADGRL3	-1.341181	1.26E-02
PIP4K2C	-0.7214082	1.27E-02
SLC5A5	-1.3322323	1.28E-02
FIGN	-1.9868025	1.28E-02
TMCO4	-0.650823	1.28E-02
SLC39A14	-0.7275898	1.28E-02
MFSD4A	-3.2884294	1.28E-02
ADTRP	-2.6260161	1.28E-02
FAM183CP	-1.027754	1.28E-02
PELO	0.6541282	1.28E-02
KCNJ13	-4.0307732	1.28E-02
TMEM246	-0.8663651	1.28E-02
PDLIM7	2.4145744	1.28E-02
SSB	0.8956748	1.28E-02
MIR1292///SNORD110///SNORD86///SNORD57///NOP56	1.491275	1.28E-02
R3HDM1	0.6715347	1.29E-02
LINC00342	-1.2036763	1.29E-02
ESRRB	-2.3155239	1.31E-02
ANKMY2	-0.8217253	1.31E-02
PHF19	1.1271861	1.32E-02
SNRPE	0.8495844	1.32E-02
VWA5A	-0.9327293	1.32E-02
SCN4A	-1.5276092	1.32E-02
KCNH7	-1.5706241	1.32E-02
LOC100506314	-0.8870294	1.32E-02
DCLRE1B	0.7210468	1.32E-02
CDC14B	-0.8833866	1.32E-02
FKBP14	0.8205996	1.32E-02
YAP1	0.7630522	1.32E-02
GHITM	-0.768535	1.32E-02
MSH2	0.9821697	1.32E-02
PPT1	0.5912053	1.33E-02
NDUFS1	-0.7897395	1.33E-02
DUSP10	0.8816175	1.33E-02
SLC35D1	-0.7643821	1.35E-02
MYH9	0.6692338	1.36E-02
C1orf198	1.0147668	1.36E-02
KCNQ1	-1.3593017	1.36E-02
CDHR3	-1.3916204	1.36E-02
RHBDD1	-0.8251177	1.36E-02
LIAS	-0.7706731	1.36E-02
FANCD2	1.0902058	1.36E-02
LRRC31	-2.6002525	1.36E-02
RUSC2	2.1467707	1.37E-02
SMC1B	-2.618464	1.37E-02
LARGE1	-0.8185314	1.38E-02
SIGMAR1	0.9940151	1.38E-02
UMAD1	-0.9523519	1.39E-02
