Label	logFC	FDR
 GHRL 	-2.4601068	4.49E-12
 MMP3 	2.24295833	4.71E-12
 SMC2 	1.40874193	4.95E-12
 CTSC 	1.19211116	4.97E-12
 BRCA1 	1.30337949	4.97E-12
 ETV4 	1.52781496	5.61E-12
 MYOC 	-1.94041242	6.46E-12
 MCM4 	1.18658469	6.55E-12
 MMP7 	2.54995231	9.48E-12
 SF3B3 	1.10774196	9.48E-12
 ESRRG 	-2.122096	1.06E-11
 ADNP 	1.17525727	1.10E-11
 C13orf34 	1.17241904	1.14E-11
 RRM2 	2.21598227	1.20E-11
 CCDC99 	1.39117944	1.23E-11
 CSTF3 	1.14774807	1.32E-11
 SMC4 	1.2634122	1.36E-11
 BUB3 	1.16766056	1.36E-11
 CENPI 	1.36864389	1.36E-11
 LMNB1 	1.26863147	1.40E-11
 CLDN3 	1.46517853	1.51E-11
 AURKA 	1.41772418	1.58E-11
 NUP107 	1.53330989	1.64E-11
 DSN1 	1.23922673	1.64E-11
 MCM10 	1.29492611	1.66E-11
 INHBA 	1.612662	1.79E-11
 TGFBI 	1.48627689	1.95E-11
 GLT25D1 	1.04528509	1.96E-11
 SPARC 	1.69286029	1.98E-11
 ATAD5 	1.33423978	2.01E-11
 NUDCD1 	1.34868769	2.01E-11
 BIRC5 	1.22317004	2.19E-11
 HIST1H2AB 	2.03925014	2.39E-11
 CDK2 	1.11520524	2.48E-11
 GPRC5A 	1.67766262	2.52E-11
 CPA2 	-3.53757144	2.62E-11
 SPP1 	2.40700407	2.79E-11
 RAD51 	1.26499118	3.71E-11
 TUBB 	1.27595296	3.84E-11
 MYBL2 	1.26968411	4.30E-11
 CSE1L 	1.3485928	4.33E-11
 ZWINT 	1.31105187	4.43E-11
 CD276 	0.98181624	4.85E-11
 GAS2L3 	1.47554151	5.70E-11
 LEF1 	1.34661229	6.12E-11
 C11orf82 	1.37033916	6.47E-11
 SGOL1 	1.44334698	7.07E-11
 RBL1 	1.21414869	7.33E-11
 GTPBP4 	1.10562356	7.54E-11
 SPAG5 	1.24743189	7.80E-11
 KIAA0101 	1.90061382	7.84E-11
 OIP5 	1.17216136	8.04E-11
 FBXO5 	1.29159278	8.16E-11
 HIST1H3B 	2.07183567	8.26E-11
 NCAPH 	1.30452342	8.75E-11
 AGXT2L1 	-1.59376651	8.99E-11
 UCK2 	1.05418973	9.31E-11
 METTL7B 	1.28453453	9.41E-11
 NUDT5 	1.17685422	9.97E-11
 LIPA 	1.33377164	1.07E-10
 OLFML2B 	1.3107212	1.11E-10
 AGT 	1.49404862	1.13E-10
 CCNA2 	1.42200727	1.15E-10
 CTNNB1 	1.29850416	1.21E-10
 MMP12 	2.43916262	1.23E-10
 KCNE2 	-2.92755907	1.30E-10
 ATP4A 	-3.41205362	1.36E-10
 KIF20B 	1.36011547	1.41E-10
 EFTUD2 	1.13524698	1.48E-10
 RRM1 	1.07461253	1.55E-10
 STMN1 	1.11421258	1.58E-10
 CDCA3 	1.19012918	1.82E-10
 KIF18A 	1.25820091	1.82E-10
 CCT2 	1.38612331	1.85E-10
 FBP2 	-1.89186027	1.92E-10
 CASK 	1.21449162	1.99E-10
 MDK 	1.2929884	2.01E-10
 EPHB2 	1.36621704	2.30E-10
 HMMR 	1.36373062	2.38E-10
 RACGAP1 	1.14348916	2.46E-10
 WDR12 	1.05661293	2.50E-10
 RUVBL1 	1.04405496	2.62E-10
 CENPJ 	1.12472553	2.67E-10
 CHI3L1 	1.81796669	2.71E-10
 GIF 	-4.14611771	2.71E-10
 F2R 	1.24525811	2.72E-10
 SKA1 	0.95099598	2.73E-10
 VCAN 	1.5423698	2.74E-10
 CKAP5 	1.24147771	2.85E-10
 SLC27A2 	1.64024751	2.85E-10
 PSMB3 	1.25323436	2.93E-10
 COL6A3 	1.57909491	2.97E-10
 CTSA 	1.29033202	3.07E-10
 STK3 	1.22602764	3.07E-10
 MMP1 	2.39608327	3.20E-10
 KAL1 	1.14192122	3.23E-10
 PTTG1 	1.45462984	3.48E-10
 PAICS 	1.23234407	3.70E-10
 MCM7 	1.11437371	3.79E-10
 GART 	1.05659827	3.94E-10
 FAT1 	1.13369138	4.08E-10
 XPR1 	1.13418864	4.19E-10
 ANGPT2 	1.44808964	4.31E-10
 SRPX2 	1.40762451	4.32E-10
 STIP1 	1.18917789	4.61E-10
 SEH1L 	1.02480384	4.69E-10
 PIGU 	1.10791738	5.25E-10
 NCAPD2 	1.12003831	5.39E-10
 IFI30 	1.50917731	5.46E-10
 CEP170 	1.39296333	5.47E-10
 ARPC1B 	1.28027784	5.68E-10
 CDC20 	1.66855358	6.06E-10
 PPIH 	0.90036747	6.09E-10
 MARCKSL1 	0.91792822	6.47E-10
 CCT3 	0.99939089	6.80E-10
 MCM8 	1.3703878	6.91E-10
 TH1L 	1.1585812	7.12E-10
 CDC25B 	1.04832569	7.31E-10
 DDX21 	1.2122456	7.43E-10
 RAE1 	1.2214038	7.74E-10
 SNRPB 	1.07574989	7.76E-10
 TEX10 	1.10184	7.89E-10
 NOLC1 	1.14699542	7.89E-10
 ATP2A2 	1.0608588	7.92E-10
 COL4A1 	1.17943213	7.92E-10
 NUP155 	1.15809724	8.01E-10
 SULT2A1 	-1.72802433	8.10E-10
 TMEM176A 	1.29541062	8.24E-10
 MCM6 	1.09885662	8.45E-10
 DCBLD1 	1.11763858	9.30E-10
 TRIM29 	1.68511656	9.58E-10
 AP1S1 	0.8732566	9.58E-10
 SCML1 	1.25691424	9.74E-10
 ITGB8 	1.24939329	9.81E-10
 PAK1IP1 	1.10441104	1.08E-09
 HEATR1 	1.05478771	1.09E-09
 RAP2A 	1.16555253	1.17E-09
 ZDHHC9 	1.04430984	1.19E-09
 NUP37 	1.22948264	1.26E-09
 SNRPD1 	1.2432242	1.31E-09
 C12orf48 	1.0894945	1.31E-09
 SERPINH1 	1.29517462	1.40E-09
 FAM91A1 	1.35970109	1.40E-09
 KIF15 	1.16466936	1.40E-09
 RNASEH2A 	0.87938382	1.43E-09
 ZNF207 	0.99041609	1.44E-09
 MYOF 	1.30013431	1.50E-09
 GPR172A 	0.88611833	1.50E-09
 GINS2 	1.22823613	1.54E-09
 CDH11 	1.2690012	1.55E-09
 KDELC1 	1.22699342	1.55E-09
 GNL3 	0.90282311	1.56E-09
 HIST1H4L 	1.95324958	1.62E-09
 LYAR 	1.05446604	1.66E-09
 SLC5A5 	-2.29492018	1.76E-09
 NCAPG2 	1.0221418	1.77E-09
 MTHFD1L 	1.02715409	1.99E-09
 MASTL 	1.27488613	2.00E-09
 TTL 	0.89774078	2.00E-09
 OLR1 	1.48105129	2.04E-09
 FGD6 	1.45907351	2.06E-09
 PHF6 	1.0150502	2.10E-09
 MSR1 	1.63643856	2.13E-09
 TOPBP1 	1.02022009	2.15E-09
 IMPDH2 	1.10723142	2.19E-09
 KIF22 	0.84666104	2.20E-09
 XRCC2 	1.087005	2.24E-09
 FAM111B 	1.40427191	2.28E-09
 FGA 	-2.04685587	2.32E-09
 CALU 	1.28855367	2.34E-09
 SQLE 	1.30682093	2.42E-09
 RECQL 	1.31969016	2.42E-09
 IL32 	1.21047111	2.42E-09
 XRN2 	1.06842904	2.43E-09
 AGMAT 	1.105146	2.43E-09
 ATP4B 	-3.48906062	2.54E-09
 ASF1B 	1.28240924	2.54E-09
 C2 	1.12584611	2.61E-09
 SERPINB5 	1.96122551	2.71E-09
 VIL1 	1.77026158	2.74E-09
 POLA1 	1.0561416	2.77E-09
 EIF6 	1.27363893	2.77E-09
 LOXL2 	1.00293229	2.88E-09
 FIGNL1 	1.10087998	2.95E-09
 CDCA4 	0.8921934	3.11E-09
 HIST1H2BM 	1.97082129	3.20E-09
 NIP7 	1.17521438	3.23E-09
 PGM2L1 	1.15840769	3.27E-09
 CXorf38 	1.0250628	3.38E-09
 TIPIN 	1.12327629	3.49E-09
 C20orf3 	1.00152269	3.67E-09
 APOBEC3B 	1.31922447	3.72E-09
 EZH2 	1.14722587	3.97E-09
 PLBD1 	1.27975478	3.97E-09
 DIO2 	1.23334509	4.04E-09
 CYB5R2 	0.97858031	4.04E-09
 CTHRC1 	1.22764873	4.31E-09
 UTP6 	1.08739196	4.31E-09
 CKMT2 	-1.34134893	4.36E-09
 CENPM 	0.93886164	4.51E-09
 HKDC1 	1.27827078	4.58E-09
 COL10A1 	1.16496651	4.69E-09
 MYO1D 	1.17289689	4.75E-09
 CCT5 	1.06137631	4.75E-09
 HIF1A 	1.25049544	5.11E-09
 FAM60A 	1.33659844	5.18E-09
 NAA25 	1.18511122	5.42E-09
 POLR1C 	0.84329073	5.45E-09
 HIST1H1C 	1.03637778	5.62E-09
 RAD21 	0.91684449	5.62E-09
 GTSE1 	1.01260804	5.84E-09
 SLC5A6 	1.04012847	6.25E-09
 RASAL2 	0.93219458	6.28E-09
 PUS7 	1.14572751	6.28E-09
 PGK1 	1.32189316	6.28E-09
 SLC26A7 	-1.31075198	6.33E-09
 PTDSS1 	1.05443253	6.33E-09
 FERMT1 	1.38691458	6.33E-09
 DNAJC9 	1.73074416	6.33E-09
 NUFIP1 	1.03371918	6.35E-09
 CENPA 	0.96813129	6.43E-09
 IL17RB 	1.17592316	6.51E-09
 ANXA13 	2.03827016	6.54E-09
 USP14 	1.17999649	6.92E-09
 GRIA4 	-1.10419313	7.06E-09
 FCGR2A 	1.39274602	7.06E-09
 RFC4 	0.96479427	7.10E-09
 TRIM37 	0.98156669	7.15E-09
 FKBP1A 	1.36345527	7.26E-09
 HDGF 	0.9122666	7.29E-09
 FANCD2 	1.04239944	7.29E-09
 NEK2 	0.97070269	7.44E-09
 PRRG1 	1.14290256	7.63E-09
 NRG4 	-1.49259833	7.76E-09
 C13orf23 	1.04436051	7.84E-09
 NAT10 	0.98490244	7.89E-09
 C17orf49 	0.90194098	8.10E-09
 HOXB9 	1.16395558	8.10E-09
 NCAPD3 	0.95779869	8.10E-09
 ABCE1 	1.17104371	8.19E-09
 IFITM1 	1.33527622	8.23E-09
 CDC123 	1.04257007	8.29E-09
 SULF2 	1.14961898	8.33E-09
 CD9 	1.23415676	8.81E-09
 FAM26E 	1.2964	8.83E-09
 PPA1 	0.94422829	8.98E-09
 GEN1 	1.33871811	9.04E-09
 ERI1 	1.1154972	9.50E-09
 RIPK2 	1.09056282	9.58E-09
 F2RL2 	1.41749016	9.58E-09
 HAUS6 	1.00285376	9.58E-09
 DDX10 	1.00118767	9.71E-09
 POFUT1 	0.90968564	9.80E-09
 TMEM62 	1.22352338	1.01E-08
 HIST1H2AE 	1.29776507	1.03E-08
 UBE2D1 	1.12578873	1.05E-08
 ATP6AP2 	1.06216082	1.05E-08
 CDH17 	2.74910047	1.08E-08
 SUPT16H 	1.08500929	1.08E-08
 SLC7A7 	1.20277102	1.11E-08
 MCM3 	0.9320076	1.13E-08
 ATIC 	0.96519387	1.16E-08
 CCT6A 	0.86250031	1.18E-08
 TNFRSF11B 	1.48222176	1.22E-08
 MSH2 	1.13547809	1.24E-08
 LAMC2 	1.40286978	1.25E-08
 APOBEC2 	-1.24136071	1.25E-08
 MCM5 	0.98228149	1.27E-08
 CENPO 	1.06019829	1.30E-08
 CPNE1 	0.93016	1.30E-08
 RPP40 	0.96230747	1.33E-08
 UTP20 	1.02682207	1.39E-08
 SOSTDC1 	-2.21805371	1.42E-08
 IGFBP7 	1.16973642	1.42E-08
 PSMD3 	1.063885	1.47E-08
 PRPF4 	1.00097947	1.50E-08
 IMPAD1 	0.9292824	1.60E-08
 WNT5A 	1.06661322	1.60E-08
 ADH7 	-1.99785818	1.63E-08
 ILF2 	1.07380344	1.69E-08
 CLRN3 	2.1094468	1.70E-08
 TRMT6 	0.85131036	1.70E-08
 HIST1H1B 	1.55299753	1.79E-08
 PRMT5 	0.94050396	1.82E-08
 ADAR 	0.97291207	1.82E-08
 RAB22A 	0.91991333	1.82E-08
 RPN2 	1.0503534	1.87E-08
 IL18 	1.33866862	1.93E-08
 AGPS 	1.17011578	1.98E-08
 MTCH2 	0.99093251	1.98E-08
 POLE2 	0.95818544	1.98E-08
 MTA2 	1.00166149	2.04E-08
 OBFC2B 	0.92320156	2.07E-08
 TUBB2C 	1.25612596	2.18E-08
 ATP13A3 	1.0602112	2.26E-08
 AURKB 	0.94603578	2.29E-08
 TAP1 	1.12812873	2.29E-08
 RAD18 	0.87773476	2.36E-08
 SSRP1 	0.90566931	2.43E-08
 CDCA7 	1.24215544	2.48E-08
 RFC5 	0.97388296	2.48E-08
 GC 	-1.70635142	2.55E-08
 CTPS 	0.93327309	2.61E-08
 CPSF3 	1.02115913	2.63E-08
 LGR5 	1.98046929	2.66E-08
 HMGB3 	0.8355098	2.66E-08
 CWH43 	-1.36110758	2.69E-08
 MMS22L 	1.07598844	2.72E-08
 C15orf42 	1.02670482	2.72E-08
 NAE1 	1.10646147	2.73E-08
 HIST1H2AK 	1.07905838	2.75E-08
 PDILT 	-1.53718696	2.83E-08
 CHGA 	-1.64232991	2.85E-08
 FPR3 	1.23913469	2.85E-08
 HPSE 	0.8735192	2.85E-08
 PSMC4 	0.92798518	2.88E-08
 DPAGT1 	0.92382807	2.90E-08
 NOP2 	0.95316453	2.94E-08
 GALNT1 	1.109502	3.01E-08
 WDR67 	0.95053373	3.12E-08
 TMPO 	1.08921367	3.13E-08
 TIMM50 	0.85508849	3.22E-08
 PSMD11 	0.97848584	3.23E-08
 POLR2G 	0.85429702	3.23E-08
 DPP3 	0.94285529	3.27E-08
 LYN 	1.03391673	3.27E-08
 CDH3 	1.14808473	3.27E-08
 EXOSC5 	0.79244551	3.35E-08
 PSMB2 	1.08557576	3.57E-08
 EIF4A3 	0.95293536	3.57E-08
 SBNO1 	0.97620602	3.57E-08
 ORC6 	1.00197927	3.61E-08
 GTF2H3 	1.04470551	3.77E-08
 RQCD1 	0.89736638	3.81E-08
 SKP2 	1.08146398	3.81E-08
 LIPG 	1.06813409	3.87E-08
 PIGW 	1.163231	3.87E-08
 CPSF6 	0.92211504	3.87E-08
 CCKAR 	-1.86359673	3.89E-08
 H2AFY 	0.86121011	3.99E-08
 KIAA0196 	0.99786	3.99E-08
 CCT7 	0.94468216	4.04E-08
 ASPN 	2.04787822	4.04E-08
 XPO5 	0.9266618	4.11E-08
 GLA 	0.93637082	4.23E-08
 CEACAM6 	2.75218189	4.29E-08
 LOX 	1.54701271	4.31E-08
 PHF14 	0.89763131	4.45E-08
 HIST1H3I 	1.52356296	4.49E-08
 CDK4 	0.93190296	4.50E-08
 PPFIA1 	0.88611518	4.50E-08
 HIST1H3H 	1.15914669	4.50E-08
 ALG8 	0.97873842	4.52E-08
 SLC25A32 	1.02282369	4.60E-08
 FAM49B 	0.9924984	4.62E-08
 PATL1 	0.94285493	4.62E-08
 CAPZA1 	0.92064078	4.70E-08
 RCN3 	1.14254524	4.74E-08
 APLNR 	0.89801538	4.75E-08
 INTS7 	1.06421987	4.79E-08
 HSPA14 	0.93760178	4.86E-08
 S100A10 	1.32863284	4.88E-08
 MORF4L2 	1.14162718	4.88E-08
 SLC16A3 	1.00963202	4.89E-08
 ROD1 	1.014091	4.94E-08
 SCNM1 	0.85214271	5.16E-08
 HIST1H2BF 	1.22885013	5.16E-08
 HIST1H2AH 	1.28372336	5.18E-08
 DCTPP1 	1.07030107	5.18E-08
 IPO9 	0.971751	5.23E-08
 CPSF2 	0.91000509	5.26E-08
 SCARB1 	0.83017107	5.31E-08
 DGKH 	1.18651109	5.37E-08
 FTSJ3 	0.8136152	5.44E-08
 C10orf81 	1.85987253	5.46E-08
 CENPE 	0.85738254	5.54E-08
 C20orf72 	1.02210929	5.54E-08
 ESM1 	1.13800269	5.54E-08
 DARS2 	0.92729222	5.67E-08
 GBA 	0.86930433	5.69E-08
 PA2G4 	0.92242416	5.71E-08
 SMC6 	1.08346073	5.72E-08
 PGM2 	1.02792898	5.88E-08
 SEPT11 	1.01368153	5.93E-08
 SRM 	0.88273833	6.08E-08
 ACSL4 	1.08543451	6.15E-08
 UBE2A 	0.96789509	6.30E-08
 CD44 	1.15577547	6.31E-08
 MT1M 	-2.26308436	6.35E-08
 GGCT 	1.00419331	6.35E-08
 S100A16 	1.29473538	6.36E-08
 DSG3 	1.66886189	6.39E-08
 RNF219 	1.11263636	6.44E-08
 FANCA 	0.84707111	6.80E-08
 CLIC1 	0.96672064	6.86E-08
 SSB 	0.94995824	6.89E-08
 FAM122B 	0.92846042	6.95E-08
 PARP9 	1.13200553	6.99E-08
 TK1 	0.86400031	7.02E-08
 CBFB 	0.9905838	7.12E-08
 GPX8 	1.43273771	7.18E-08
 PAWR 	1.10643344	7.30E-08
 PARP14 	1.0583412	7.36E-08
 MPZL1 	0.88691558	7.44E-08
 NEK3 	1.03387327	7.71E-08
 ADAM12 	1.30478527	7.75E-08
 SCNN1B 	-1.19661004	7.76E-08
 ITPA 	0.7555248	7.85E-08
 DERL1 	0.95473802	7.87E-08
 INTS8 	0.90949724	7.88E-08
 APAF1 	0.98750653	8.16E-08
 TFF2 	-2.69163627	8.23E-08
 C9orf30 	0.943397	8.55E-08
 ZW10 	0.91142696	8.77E-08
 P4HA3 	1.18168567	8.77E-08
 CGREF1 	1.15640762	8.83E-08
 MMP11 	1.00776644	8.84E-08
 COL11A1 	1.03896244	8.86E-08
 ILDR1 	0.94520376	8.91E-08
 PALB2 	0.86285822	9.23E-08
 HOXB7 	0.8163168	9.35E-08
 RFWD3 	0.97751989	9.53E-08
 ISG20L2 	0.87558071	9.53E-08
 GPR137B 	1.01167298	9.59E-08
 PSMB7 	0.98673262	9.72E-08
 POMP 	1.01878982	9.86E-08
 POLA2 	0.8507262	9.91E-08
 CYB5B 	1.09826138	1.01E-07
 AIMP2 	0.77058784	1.01E-07
 THOC2 	0.97649516	1.01E-07
 ASCC3 	1.00822031	1.02E-07
 ACLY 	1.06013429	1.06E-07
 CCNE1 	1.63474271	1.07E-07
 LRRC37BP1 	0.98587591	1.07E-07
 FCGR3A 	1.32770418	1.07E-07
 CAMK2N1 	1.10494238	1.08E-07
 EPSTI1 	1.17568262	1.09E-07
 MBTPS2 	0.95054491	1.09E-07
 PLP2 	1.04708404	1.09E-07
 VRK1 	1.00795524	1.09E-07
 ANAPC1 	0.98515322	1.13E-07
 RCC2 	0.82293951	1.16E-07
 MACC1 	1.41196256	1.20E-07
 ADPGK 	0.84644227	1.20E-07
 CTSL1 	1.15110018	1.20E-07
 GKN1 	-3.60791882	1.21E-07
 LUM 	1.72720313	1.21E-07
 ADAMTS12 	0.90990904	1.21E-07
 OSBPL10 	0.81647473	1.21E-07
 ARSE 	1.33594789	1.21E-07
 CDK16 	0.77214644	1.22E-07
 XPO1 	1.08872309	1.22E-07
 JUB 	0.89704956	1.25E-07
 EIF4H 	1.12695404	1.25E-07
 FGFR1OP 	0.7857138	1.26E-07
 HIST1H1A 	1.60959838	1.27E-07
 CHD1L 	0.85756893	1.31E-07
 IGF2BP3 	1.23914611	1.31E-07
 ERAL1 	0.91103964	1.35E-07
 RNF114 	0.78179484	1.37E-07
 STT3A 	0.95397684	1.38E-07
 PFKP 	0.94462876	1.38E-07
 DIP2B 	0.89073929	1.39E-07
 SH3KBP1 	0.90555618	1.41E-07
 AHCY 	0.89650027	1.42E-07
 SCNN1G 	-1.58068104	1.43E-07
 NIT2 	0.78494553	1.46E-07
 PSMD14 	0.98640204	1.47E-07
 GRINA 	0.96271529	1.47E-07
 VPS36 	0.90119358	1.47E-07
 FN1 	1.63886176	1.47E-07
 CIT 	0.7768728	1.47E-07
 PDCD11 	0.91466291	1.49E-07
 GSTCD 	0.88466391	1.51E-07
 C10orf129 	-1.17618733	1.56E-07
 GANAB 	0.88756451	1.56E-07
 TNFRSF10B 	0.94600411	1.56E-07
 ZBTB33 	0.76402964	1.57E-07
 MINPP1 	0.99913249	1.58E-07
 HEPH 	1.47477173	1.58E-07
 TP53I3 	0.92699198	1.67E-07
 SH3PXD2B 	1.19212087	1.68E-07
 JPH1 	1.11766582	1.68E-07
 TIMELESS 	0.89772769	1.70E-07
 TMEM49 	1.01052084	1.72E-07
 SLC2A1 	1.00223676	1.72E-07
 IPO4 	0.72742418	1.73E-07
 EXOSC8 	0.94023364	1.74E-07
 C1orf107 	0.82523262	1.75E-07
 DIAPH3 	0.96628944	1.77E-07
 BCAP31 	1.09800244	1.77E-07
 VANGL1 	1.04865669	1.79E-07
 KCNJ16 	-1.68732356	1.79E-07
 MOCOS 	0.99476373	1.79E-07
 GSK3B 	0.73011038	1.79E-07
 MXRA5 	1.08628676	1.79E-07
 SLC1A2 	-1.10612729	1.82E-07
 KIF2A 	0.94975691	1.84E-07
 C18orf45 	0.99504676	1.85E-07
 PTBP1 	0.84703387	1.85E-07
 ICMT 	0.75032529	1.88E-07
 NDRG3 	0.92389891	1.89E-07
 OSMR 	1.25447173	1.89E-07
 CDK2AP1 	0.91882007	1.92E-07
 DDX56 	0.8485664	1.94E-07
 FUBP1 	0.94041916	1.94E-07
 TM4SF1 	1.22032662	1.94E-07
 SMC3 	0.9681828	1.95E-07
 IFT52 	0.86797124	1.97E-07
 ENOPH1 	0.84982509	1.98E-07
 TPP2 	0.8456756	2.02E-07
 PLBD2 	0.7771818	2.03E-07
 CXCL16 	1.07048258	2.03E-07
 CLTC 	0.94411222	2.04E-07
 HJURP 	0.96402678	2.04E-07
 PGA4 	-3.76538669	2.05E-07
 HIST2H2AB 	1.26790776	2.10E-07
 B4GALT5 	0.88330367	2.11E-07
 PMM2 	0.91215751	2.15E-07
 C12orf11 	1.17464342	2.15E-07
 TNFRSF12A 	0.98077682	2.17E-07
 IFNAR2 	1.03045444	2.18E-07
 CNOT2 	0.91985313	2.20E-07
 NBN 	1.06627833	2.20E-07
 PHF19 	0.90447924	2.29E-07
 PLOD3 	0.86481398	2.39E-07
 TBCB 	0.91371791	2.43E-07
 HSPA5 	0.90276233	2.45E-07
 MTERFD1 	1.05958044	2.45E-07
 MRRF 	0.82482713	2.46E-07
 SRPK1 	1.04479793	2.48E-07
 CCDC34 	0.91375944	2.49E-07
 MCM2 	0.76372236	2.51E-07
 FADS2 	0.9994556	2.53E-07
 NAA15 	0.89968231	2.64E-07
 ZC3HAV1L 	0.90810473	2.67E-07
 XPO4 	0.99902542	2.71E-07
 ANKH 	0.86151142	2.77E-07
 RCE1 	0.73751896	2.81E-07
 NETO2 	1.1542746	2.83E-07
 PDIA2 	-1.67466571	2.84E-07
 NCL 	0.98705331	2.84E-07
 CTDSPL2 	0.90115384	2.90E-07
 MFSD4 	-1.65650851	3.00E-07
 NT5DC2 	0.86401753	3.01E-07
 LPCAT2 	1.00287064	3.01E-07
 CKAP2L 	0.94265331	3.02E-07
 FLJ42875 	-0.93143736	3.03E-07
 SGK196 	0.90532653	3.03E-07
 POLG2 	0.94537602	3.13E-07
 HIATL1 	0.9446786	3.13E-07
 PES1 	0.83657869	3.14E-07
 CSTF2 	0.78059429	3.15E-07
 IL2RA 	1.13760456	3.18E-07
 PTK7 	0.7812594	3.25E-07
 SLC26A9 	-1.36067793	3.26E-07
 HIST1H3J 	1.30378462	3.32E-07
